City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
61,Pisco,PE,292.18,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
65,Naze,JP,292.18,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
66,Salalah,OM,297.2,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
67,Iracoubo,GF,298.58,heavy intensity rain,5.4802,-53.2011,Le Gîte d’Iracoubo
68,Hithadhoo,MV,301.47,overcast clouds,-0.6,73.0833,Scoop Guest House
71,Eyl,SO,298.69,broken clouds,7.9803,49.8164,Amiin Hotel
73,Sakakah,SA,294.91,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
74,Banda Aceh,ID,298.84,light rain,5.5577,95.3222,Sulthan Hotel International
76,San Cristobal,VE,299.25,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
78,Marsh Harbour,BS,299.77,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
79,Ambilobe,MG,297.25,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
82,Cururupu,BR,300.16,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
83,Victoria,HK,297.22,light rain,22.2855,114.1577,Mini Hotel Central
84,Shrigonda,IN,295.0,few clouds,18.6167,74.6833,Hotel Dnyashwari
86,Bengkulu,ID,296.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
87,Arraial Do Cabo,BR,294.13,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
94,Monywa,MM,297.69,overcast clouds,22.1167,95.1333,Monywa Hotel
96,Broome,US,294.18,clear sky,42.2506,-75.833,Chenango Valley State Park
97,Manono,CD,292.88,overcast clouds,-7.3,27.4167,Hotel hewa bora
98,Maxixe,MZ,294.43,few clouds,-23.8597,35.3472,Oceano
104,Calama,CL,296.42,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
105,Gastonia,US,298.98,broken clouds,35.2621,-81.1873,"Holiday Inn Express Charlotte West - Gastonia, an IHG Hotel"
106,Diffa,NE,304.3,scattered clouds,13.3154,12.6113,ProDAF/Diffa
107,San Ramon,US,291.69,broken clouds,37.7799,-121.978,San Ramon Marriott
108,Cockburn Town,TC,301.13,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Reconquista,AR,303.79,clear sky,-29.15,-59.65,Grand Hotel
114,Ondjiva,AO,297.67,scattered clouds,-17.0667,15.7333,COMBUESA
115,Neiafu,TO,298.53,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
116,Sibolga,ID,297.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
117,Kapaa,US,301.14,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
118,Cape Town,ZA,290.99,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
121,Mahajanga,MG,299.16,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
122,Caravelas,BR,297.16,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
123,Los Llanos De Aridane,ES,293.01,broken clouds,28.6585,-17.9182,Valle Aridane
124,Cidreira,BR,293.52,clear sky,-30.1811,-50.2056,Hotel Castelo
126,Poum,NC,297.27,clear sky,-20.2333,164.0167,Gîte kajeon
127,Mercedes,AR,303.16,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
128,Port Alfred,ZA,290.31,few clouds,-33.5906,26.891,The Halyards Hotel
131,Saint-Philippe,RE,295.92,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
133,Iranshahr,IR,297.34,clear sky,27.2025,60.6848,نیک سرشت
134,Westport,US,295.96,broken clouds,41.1415,-73.3579,The Westport Inn
136,Hambantota,LK,299.11,heavy intensity rain,6.1241,81.1185,Bungalow 63
137,Riva,US,298.38,clear sky,38.9521,-76.578,Hilton Garden Inn Annapolis
138,Sao Filipe,CV,299.31,scattered clouds,14.8961,-24.4956,Hotel Xaguate
139,Calamar,CO,299.12,broken clouds,10.2511,-74.9146,Hostal Katyalex
143,East London,ZA,291.39,light rain,-33.0153,27.9116,Tu Casa
144,Sabang,ID,299.98,overcast clouds,5.8933,95.3214,Hotel Citra
145,Locri,IT,290.83,overcast clouds,38.2414,16.2623,Grand Hotel President
149,Rocha,UY,292.67,clear sky,-34.4833,-54.3333,Beleza Pura B&B
150,Los Alamos,US,295.61,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
152,Camacha,PT,292.57,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
154,Asfi,MA,292.51,scattered clouds,32.2994,-9.2372,Hôtel Abda
156,Marawi,PH,292.4,overcast clouds,7.9986,124.2928,Derogongan Residence
158,Pacific Grove,US,291.73,scattered clouds,36.6177,-121.9166,Lovers Point Inn
163,San Pedro Del Pinatar,ES,291.15,few clouds,37.8357,-0.791,Thalasia Costa de Murcia
166,Poso,ID,297.71,broken clouds,-1.3959,120.7524,Hotel 77 Poso
167,Cayenne,GF,298.17,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
168,Waingapu,ID,299.31,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
170,Cabo San Lucas,MX,305.66,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
171,Hualmay,PE,292.72,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
173,Russell,US,299.8,scattered clouds,32.3502,-85.1999,Macs
175,Harper,LR,298.82,overcast clouds,4.375,-7.7169,Screensaver
176,Namatanai,PG,300.18,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
178,Ponta Do Sol,PT,294.66,few clouds,32.6667,-17.1,Hotel do Campo
179,Matara,LK,298.24,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
181,Constitucion,CL,291.07,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
